spec_id,specno,ucmp_coll,class,genus,species,subspecies,other_id,type_status,period,epoch,loc_ID_num,loc_name,county_std,state_prov_std,country_std,cont_ocean,pic,access
,,,,,,,,,,,,,,,,,,
V3002,3002,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3038,3038,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3047,3047,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3085,3085,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3088,3088,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3092,3092,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3094,3094,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3099,3099,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3114,3114,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3123,3123,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3124,3124,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3130,3130,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3133,3133,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3163,3163,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3164,3164,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3168,3168,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3193,3193,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
