Museum,Number
MVZ,121439
MVZ,46918
MVZ,84215
MVZ,24408
MVZ,35388
MVZ,91034
MVZ,91035
MVZ,113385
MVZ,99747
MVZ,78128
MVZ,14708
MVZ,44126
MVZ,44128
MVZ,51639
MVZ,54955
MVZ,44127
MVZ,54956
MVZ,4773
MVZ,222
MVZ,4775
MVZ,221
MVZ,4774
MVZ,218
MVZ,16530
MVZ,4693
MVZ,214
MVZ,4712
MVZ,215
MVZ,217
MVZ,4725
MVZ,4729
MVZ,8858
MVZ,216
MVZ,219
MVZ,4694
MVZ,9520
MVZ,4679
MVZ,437
MVZ,4724
MVZ,124125
MVZ,53388
MVZ,53389
MVZ,53390
MVZ,43324
MVZ,43325
MVZ,77354
MVZ,100050
MVZ,100047
MVZ,100051
MVZ,100046
MVZ,46634
MVZ,46625
MVZ,46631
MVZ,46636
MVZ,100052
MVZ,46626
MVZ,46632
MVZ,184150
MVZ,16268
MVZ,103898
MVZ,128521
MVZ,184149
MVZ,99741
MVZ,23661
MVZ,162985
MVZ,16269
MVZ,114216
MVZ,163000
MVZ,162979
MVZ,162982
MVZ,162984
MVZ,162980
MVZ,162981
MVZ,29805
MVZ,162996
MVZ,162997
MVZ,21400
MVZ,78127
MVZ,134300
MVZ,51641
MVZ,51642
MVZ,8323
MVZ,51640
MVZ,84273
MVZ,112195
MVZ,104869
MVZ,134971
MVZ,32976
MVZ,50253
MVZ,50254
MVZ,61329
MVZ,94806
MVZ,71805
MVZ,4378
MVZ,4377
MVZ,4381
MVZ,4349
MVZ,4763
MVZ,99482
MVZ,14712
MVZ,53391
MVZ,43318
MVZ,43320
MVZ,43319
MVZ,44523
MVZ,47770
MVZ,53394
MVZ,4677
MVZ,47771
MVZ,53397
MVZ,53395
MVZ,8327
UCMP,V27308
UCMP,V31037
UCMP,V8851
UCMP,V35709
UCMP,V9502
UCMP,V35701
UCMP,V3882
UCMP,V35710
UCMP,V9511
UCMP,V35702
UCMP,V35716
UCMP,V27331
UCMP,V9003
UCMP,V9533
UCMP,V9651
UCMP,V9009
UCMP,V3002
UCMP,V3725
UCMP,V3012
UCMP,V10272
UCMP,V4292
UCMP,V3726
UCMP,V4459
UCMP,V42824
UCMP element,V8817
UCMP element,V22260
UCMP element,V85122
UCMP element,V8818
UCMP element,V138363
