Museum,Number,State,Lat,Long,County
MVZ,121439,California,34.067273,-118.682744,Los Angeles County
MVZ,46918,California,34.294857,-117.999544,Los Angeles County
MVZ,84215,California,36.4025096,-120.9369094,San Benito County
MVZ,24408,California,34.289705,-118.288912,Los Angeles County
MVZ,35388,California,34.7707083,-118.9418837,Ventura County
MVZ,91034,California,36.599344,-121.894659,Monterey County
MVZ,91035,California,34.5521204,-119.7698184,Santa Barbara County
MVZ,113385,Colorado,,,
MVZ,99747,Idaho,43.2258,-114.405,Camas County
MVZ,78128,Montana,46.3889,-112.7356,Powell County
MVZ,14708,Montana,44.8184,-111.2799,Gallatin County
MVZ,44126,Wyoming,,,
MVZ,44128,Wyoming,,,
MVZ,51639,Wyoming,44.5988847,-110.4998981,Park County
MVZ,54955,Wyoming,44.5988847,-110.4998981,Park County
MVZ,44127,Wyoming,,,
MVZ,54956,Wyoming,44.5988847,-110.4998981,Park County
MVZ,4773,Alaska,57.4802777778,-134.0230555556,Hoonah-Angoon Census Area
MVZ,222,Alaska,58.13,-134.7622222222,Juneau City and Borough
MVZ,4775,Alaska,57.4802777778,-134.0230555556,Hoonah-Angoon Census Area
MVZ,221,Alaska,58.13,-134.7622222222,Juneau City and Borough
MVZ,4774,Alaska,57.4802777778,-134.0230555556,Hoonah-Angoon Census Area
MVZ,218,Alaska,57.7130555556,-134.2880555556,Hoonah-Angoon Census Area
MVZ,16530,Alaska,57.6652777778,-134.0605555556,Hoonah-Angoon Census Area
MVZ,4693,Alaska,57.5333333333,-134.25,Hoonah-Angoon Census Area
MVZ,214,Alaska,57.8655555556,-134.2847222222,Hoonah-Angoon Census Area
MVZ,4712,Alaska,55.0888888889,-162.0305555556,Aleutians East Borough
MVZ,215,Alaska,57.8655555556,-134.2847222222,Hoonah-Angoon Census Area
MVZ,217,Alaska,57.6405555556,-133.9941666667,Hoonah-Angoon Census Area
MVZ,4725,Alaska,57.8655555556,-134.2847222222,Hoonah-Angoon Census Area
MVZ,4729,Alaska,57.6728784059,-134.28326141,Hoonah-Angoon Census Area
MVZ,8858,Alaska,57.8655555556,-134.2847222222,Hoonah-Angoon Census Area
MVZ,216,Alaska,57.8655555556,-134.2847222222,Hoonah-Angoon Census Area
MVZ,219,Alaska,57.7861111111,-134.0741666667,Hoonah-Angoon Census Area
MVZ,4694,Alaska,57.5333333333,-134.25,Hoonah-Angoon Census Area
MVZ,9520,Alaska,60.2974722222,-151.2290833333,Kenai Peninsula Borough
MVZ,4679,Alaska,57.6728784059,-134.28326141,Hoonah-Angoon Census Area
MVZ,437,Alaska,58.4563888889,-135.8991666667,Hoonah-Angoon Census Area
MVZ,4724,Alaska,60.1477,-161.0511,Bethel Census Area
MVZ,124125,British Columbia,52.4667,-125.0799,
MVZ,53388,British Columbia,52.3667,-126.1,
MVZ,53389,British Columbia,52.3667,-126.1,
MVZ,53390,British Columbia,52.4066,-125.9412,
MVZ,43324,British Columbia,52.9167,-121.1667,
MVZ,43325,British Columbia,,,
MVZ,77354,British Columbia,52.3833,-126.75,
MVZ,100050,British Columbia,50.1333,-115.5,
MVZ,100047,British Columbia,49.15028,-116.60345,
MVZ,100051,British Columbia,50.17815,-116.125,
